viewport_width,viewport_height,document_height,hero_words,hero_elements,full_frames,partial_borders,hero_height,hero_visible_pct,doctrine_top,manifesto_top,manifesto_visible_pct,actions_top,actions_visible_pct,meta_top,root_trace_top,root_trace_visible_pct,focus_top,selected_work_top
320,568,7655,145,58,2,10,1856,31,272,451,40,772,0,914,1161,0,1832,3097
390,844,7178,145,58,2,10,1790,47,284,481,100,802,38,944,1190,0,1766,2940
412,915,7125,145,58,2,10,1782,51,291,491,100,794,100,936,1182,0,1758,2910
768,1024,6149,146,58,2,10,1421,72,246,482,100,632,100,712,844,37,1405,2608
1280,720,4212,146,58,2,10,1009,71,279,521,100,738,0,818,279,90,993,1662
1440,900,4262,146,58,2,10,1020,88,289,547,100,749,100,829,289,100,1004,1684
1920,1080,4509,146,58,2,10,1034,98,289,553,100,763,100,843,289,100,1018,1705
